id_column,Tweet,Matt label,Elena Label
0,"Rooting for you on the breakfast show in 2019 , will be great . 😍",adoration%1:04:01::,adoration%1:04:01::
1,"Seeing the relationship between you and your friends makes me feel so happy , and believe friendship does exist . 😍",adoration%1:04:01::,adoration%1:04:01::
2,"Sir , thanks for giving us KBC . 😍 ",adoration%1:04:01::,adoration%1:04:01::
3,Has some of the most gorgeous girls on Twitter . Go check them out and hit that follow button . 😍 ,adoration%1:04:01::,adoration%1:04:01::
4,Hey Isha you look terrifically hot in your first film Premakavali . Just loved your sexy half sared looks . 😍,love%1:12:00::,adoration%1:04:01::
5,The Waco show was so good that I decided I needed to come to Springfield to see it again ! ! 😍,enthusiastic%3:00:00::,adoration%1:04:01::
6,Live with no excuses and travel with no regrets . tour roadtrip rush heaven on earth . 😍 ,adoration%1:04:01::,adoration%1:04:01::
7,Super hot Kara . best boobs in the buisness 😍 cute hot Wanna Hookup & Trade Nudes ? ,adoration%1:04:01::,adoration%1:04:01::
9,Together . 😍 ,love%1:12:00::,adoration%1:04:01::
10,"When I grow up , I want to be like my daddy . Our brand new Critical Care Response Vehicle looks amazing . 😍 ",adoration%1:04:01::,adoration%1:04:01::
11,I never knew the definition of aura until I saw Kim Yoo Jung . Literally me damn her aura is really something . 😍,adoration%1:04:01::,adoration%1:04:01::
12,"Lift your hips for me , love . Tahereh Mafi 😍 psychedelics psychedelic psychedelicart trippy psytrance girl ",adoration%1:04:01::,adoration%1:04:01::
13,Found a rare gif by accident . dont touch me . i'm marshmallow soft right now . 😍 ,adoration%1:04:01::,adoration%1:04:01::
14,Cannot stop watching Selas oshi cam ! Thanks for the video . 😍,adoration%1:04:01::,adoration%1:04:01::
15,Art Mentors artist Charles Hus fabulous Figure Drawing . 😍,adoration%1:04:01::,adoration%1:04:01::
16,And he didnt leave until she turns her eyes to look at his . 😍,love%1:12:00::,love%1:12:00::
17,once upon a time ... among so many diarys this happens to me … just one I could not leave her alone there 😍,love%1:12:00::,love%1:12:00::
18,Sara Instagram activity recently . Queen has showed love to Ranveer Instagram posts . 😍 ,adoration%1:04:01::,adoration%1:04:01::
19,Kinda the movie I wished for . 😍 ,adoration%1:04:01::,adoration%1:04:01::
21,"Trending  worldwide and Mark Tuan is also trending worldwide ,  😍 Actual king !  ",adoration%1:04:01::,adoration%1:04:01::
22,😍 Heres more news you need to know about Daisy Jones and The Six,adoration%1:04:01::,enthusiastic%3:00:00::
23,😍 Hijacking Hump Day early with the Shelfie ( 39 Photos ),adoration%1:04:01::,enthusiastic%3:00:00::
24,"😍 This is Frodo when we adopted him , his gut was unhealthy ! ! Our vet had us give him probiotics , now he is healthy . ",love%1:12:00::,love%1:12:00::
25,Whoever wants to play first . 😍,adoration%1:04:01::,enthusiastic%3:00:00::
26,Thank you for all the love . 😍,love%1:12:00::,love%1:12:00::
27,"A beautiful crowd , once again . 😍",adoration%1:04:01::,adoration%1:04:01::
28,Afternoon Tea by onboard Britannia . Just look at it ! 😍 This Is The Life .  ,adoration%1:04:01::,adoration%1:04:01::
29,"Also seriously hes my best friend , its been all day hes been glued to me . 😍 ",love%1:12:00::,love%1:12:00::
30,Australian babe Iv just moved in next door ( 25 Photos ) 😍,adoration%1:04:01::,adoration%1:04:01::
31,Aww Simply perfect ! 😍 Attack On Titan .,adoration%1:04:01::,love%1:12:00::
32,"Baby Driver was great , why did I wait so long to watch it ? 😍",adoration%1:04:01::,adoration%1:04:01::
33,Bae just passed me a brand new monthly pass 😍 This is how i like to be spoiled . ,love%1:12:00::,enthusiastic%3:00:00::
34,Beautiful Harris the tibetan terrier was in for a groom . 😍 Here is before & after . ,adoration%1:04:01::,adoration%1:04:01::
35,"Better late than never , just wanna give my deepest appreciation surprises birthday . 😍 Thank you kina . ",love%1:12:00::,love%1:12:00::
36,Big changes coming and I couldnt be more excited . 😍,enthusiastic%3:00:00::,enthusiastic%3:00:00::
37,Booked the cabin in Gatlinburg for spring break 😍 I cant wait . ,enthusiastic%3:00:00::,enthusiastic%3:00:00::
38,Booking my trip to Portland in December and all I can think of is the snow 😍,enthusiastic%3:00:00::,enthusiastic%3:00:00::
39,"But if I ever did , I would want a vintage type dress because those are beautiful 😍",adoration%1:04:01::,adoration%1:04:01::
