id_column,Tweet,Label Matt,Label Elena
0,"Can you fucking notify me everytime you change your handle , I know its crazy but please . 😭",pain%1:12:00::,pain%1:12:00::
1,"I had to work for this moment , thanks to the queen Valkyrie . 😭 ",pride%1:12:01::,pride%1:12:01::
2,"Is so good and pure , I want him to win so bad . 😭",crying%1:04:00::,pain%1:12:00::
3,Laughing at my cringey army select day because Im not wearing makeup . 😭 ,laughter%1:04:00::,pain%1:12:00::
4,Money just came out of my laundry . Today is a good day . 😭,joy%1:12:00::,joy%1:12:00::
5,Seven is my favorite number and today my favourite couple celebrating their 7th anniversary as a love team ! 😭,pride%1:12:01::,pride%1:12:01::
6,"A female will be like text me , you text her then she be like stop texting me . 😭",sadness%1:26:00::,sadness%1:26:00::
7,After Friday I was just like fuck my homework and now Im screwed . 😭,sadness%1:26:00::,pain%1:12:00::
8,"Afternoon naps are a trap, I woke up even more tired . 😭 ",sadness%1:26:00::,sadness%1:26:00::
9,All of the niall pics from today are so cute . 😭,cute%5:00:00:attractive:01,cute%5:00:00:attractive:01
10,All the boys are going to Croatia tomorrow fuck I could cry . 😭,crying%1:04:00::,crying%1:04:00::
11,All the cute things I see online never has my size . 😭,sadness%1:26:00::,sadness%1:26:00::
12,Anybody that helped me into bed last night are so special to me now ! I was teared up . 😭,sadness%1:26:00::,crying%1:04:00::
13,Back to reality . Lets see if I get fired today . 😭,sadness%1:26:00::,sadness%1:26:00::
14,"Big lips with any skin colour is attractive to me , but them dark skins with big lips can definitely have my babies . 😭",cute%5:00:00:attractive:01,cute%5:00:00:attractive:01
15,Bro how are Keys and Cibulkova still playing this same game ? ! 😭,laughter%1:04:00::,laughter%1:04:00::
16,Can I fly back now and eat that ? 😭 ! ,sadness%1:26:00::,sadness%1:26:00::
17,Cant take something from me that aint mine . 😭,crying%1:04:00::,sadness%1:26:00::
18,Cant believe theyre in the United States and I cant see them . So close but so far . 😭,sadness%1:26:00::,sadness%1:26:00::
19,Cashier just said to me youre so beautiful . They made you well . What a much needed pick me up . 😭,joy%1:12:00::,joy%1:12:00::
20,Target has some of the cutest baby clothes . 😭,cute%5:00:00:attractive:01,cute%5:00:00:attractive:01
21,"Clearly I hate myself because yesterday I had cereal , pizza and ice cream now Im paying for it . 😭",crying%1:04:00::,sadness%1:26:00::
22,Coming back to shitty Maryland weather has really fucked me up . My allergies are a mess and Im in so much pain . What the fuck ? ! 😭,sadness%1:26:00::,pain%1:12:00::
23,Damn allergies must be acting up because this weird fluid is pouring out of my eyes ! 😭 This is the sweetest story ! ,crying%1:04:00::,crying%1:04:00::
24,Damn why my cousin from Bosna gotta do me dirty like this . 😭 ,sadness%1:26:00::,sadness%1:26:00::
25,"Definite heartbreaker for Kyle Larson ... Wouldve , shouldve , couldve . Bojangles So 500  . 😭 Four races we shouldve .",sadness%1:26:00::,sadness%1:26:00::
26,Do you have any plans for touring or coming to the middle east ? If no you should think about it 😭,crying%1:04:00::,sadness%1:26:00::
27,Does anyone else watch queen Victoria? Drummond is breaking my heart . 😭 My heart hurts . ,pain%1:12:00::,pain%1:12:00::
28,Does anyone know how to go from green hair to platinum blonde 😭 help before I start experimenting . ,cute%5:00:00:attractive:01,pain%1:12:00::
29,Dont wanna jinx myself but whenever Im at this gate I jam my finger with a lock 😭 third time is a charm ? ? ,crying%1:04:00::,pain%1:12:00::
30,Eating is always hard for me especially since I dont eat pork or red meat . 😭,sadness%1:26:00::,pain%1:12:00::
31,Emo hour when listening to While Dreaming . It reminded me about the friendship between Eunbi and Haeyoon . 😭 ,crying%1:04:00::,sadness%1:26:00::
32,Eric will bribe the fuck out me and I fall for it every time . 😭,crying%1:04:00::,pain%1:12:00::
33,"My family and friends still manage to make me feel special , Im truly blessed . 😭",joy%1:12:00::,joy%1:12:00::
34,Everyone been asking why Im not blonde no more 😭 dont tempt me . ,crying%1:04:00::,sadness%1:26:00::
35,Finale . 😭 And Ive been just getting super affectionate towards this drama . They always end kinda rushed . ,crying%1:04:00::,crying%1:04:00::
36,First day on holidays and I burnt my back crimson red . 😭,sadness%1:26:00::,pain%1:12:00::
37,First night of Dan working away . 😭 Im that sad girlfriend . ,sadness%1:26:00::,sadness%1:26:00::
38,Friend lent me her copy of Bloom and I love this queer YA graphic novel so much Ive already read it twice . 😭,joy%1:12:00::,joy%1:12:00::
39,God damn Ive had two girls this week saying they are trying to fly out to see me … Im just trying to finish this Ep & animate … Im good . 😭,pride%1:12:01::,pain%1:12:00::
