id_column,Tweet,Label Matt,Label Elena
0,Has been MIA and Ive been needing to talk to her 😒,irritation%1:26:00::,irritation%1:26:00::
1,Please tell us something we dont already know. Even new born kids know Madrid is a bigger club that Chelsea. 😒,irritation%1:26:00::,irritation%1:26:00::
2,Just missed my baby call all because Im the only nurse in charge right now 😒,irritation%1:26:00::,irritation%1:26:00::
3,"No offense but 😒 just say with what you wanna say, cox you meant to offend me klaar",resentment%1:12:00::,irritation%1:26:00::
4,Its not my business and I dont know‚ saved me from lots 😒,indifference%1:12:00::,indifference%1:12:00::
5,You got any plans for Labor Day ? ‚ Im working a 14 hour shift so you tell me what my plans are 😒,irritation%1:26:00::,irritation%1:26:00::
6,😒 keep Aretha name out your mouth white boy. Retweet Gets triggered by,irritation%1:26:00::,irritation%1:26:00::
7,3 Days and Already 2.2GB ? ! 😒 I Better Abuse The Wifi More ...,incredulity%1:09:00::,incredulity%1:09:00::
8,A Homeland Security official attended dinner host said was Judenfrei (Jew-free in Nazi-speak) . Charming 😒,resentment%1:12:00::,incredulity%1:09:00::
9,"A little rain falls and BOOM , not a soul on Osceola Parkway knows how to drive 😒",irritation%1:26:00::,irritation%1:26:00::
10,Age really is a number . It doesnt equal a persons intelligence at all 😒,irritation%1:26:00::,irritation%1:26:00::
11,All I need is an episode of greys anatomy and some sleep right now 😒,irritation%1:26:00::,irritation%1:26:00::
12,All I wanna do is go out tonight and act the fool with my nigga but guess who being boring 😒,irritation%1:26:00::,irritation%1:26:00::
13,"All I wanted was for lunch , but they didnt even have what I like . Shouldve gone to so I couldve had it my way 😒",irritation%1:26:00::,irritation%1:26:00::
14,All my friends are off today and I have to work 😒,irritation%1:26:00::,irritation%1:26:00::
15,All this niggas social media accounts are linked to mine and he dont even know it . so fucking stupid . 😒,resentment%1:12:00::,incredulity%1:09:00::
16,Also FYI Im not a fake fan just because Im upset about being treated like shit … Stop being so presumptuous and stupid 😒,resentment%1:12:00::,resentment%1:12:00::
17,And still we rise ... even when were told to get over it racism doesnt exist or I dont see color 😒 ,irritation%1:26:00::,irritation%1:26:00::
18,Anyone else man constantly asking  do you have my wallet ? ! ‚ Or wheres my wallet ? ! ‚ Umm excuse me is it my wallet . 😒,irritation%1:26:00::,incredulity%1:09:00::
19,As soon as I get dressed to go out . The sky cracks to a thunderstorm 😒,irritation%1:26:00::,incredulity%1:09:00::
20,At this point they should just nominate even Sergio Ramos for Ballen 😒,irritation%1:26:00::,irritation%1:26:00::
21,"Auntie invited us over cause they got BBQ, but the invite said we can only have one piece 😒",irritation%1:26:00::,irritation%1:26:00::
22,Been off for the last two days and didnt iron even half of my uniform . 😒,irritation%1:26:00::,irritation%1:26:00::
23,bitches be into it with everybody in the city .. but never come to the city 😒,irritation%1:26:00::,irritation%1:26:00::
24,Blowing your nose with your septum piercing in is a myth .. 😒,irritation%1:26:00::,irritation%1:26:00::
25,Bo was suppose to call me for a late lunch and never did 😒,irritation%1:26:00::,irritation%1:26:00::
26,Bro Im mad this bullshit rain ruined my plans 😒,irritation%1:26:00::,irritation%1:26:00::
27,Bruh I was so excited to return to my students this week after orientation 😒,indifference%1:12:00::,indifference%1:12:00::
28,Came back and still dont know what to tweet 😒,indifference%1:12:00::,indifference%1:12:00::
29,Came to the gym for cardio and all the stair masters and treadmills are taken and I forgot my watch 😒,irritation%1:26:00::,irritation%1:26:00::
30,Can the weekend come already ? Im over this week 😒 like nah,irritation%1:26:00::,irritation%1:26:00::
31,Chick-fil-a is closed on Sundays but open on Labor Day. 😒,irritation%1:26:00::,irritation%1:26:00::
32,City girls got a documentary .... wtf is the world coming to 😒,resentment%1:12:00::,incredulity%1:09:00::
33,"Community service ,  probation and a fine ..... Really Michael ? ? ? 😒 ",resentment%1:12:00::,incredulity%1:09:00::
34,Definitely time for a change because Windstream act like they can never handle a little rainfall 😒 Thank God for unlimited data though,irritation%1:26:00::,irritation%1:26:00::
35,"Devon since you got all this rolling , dont be a wuss and look your sister in her face while you do this.  😒",irritation%1:26:00::,irritation%1:26:00::
36,Diamond is going to escape and then its back to square one 😒,irritation%1:26:00::,irritation%1:26:00::
37,"Divon is really a hater , he dont wanna send me my pictures 😒  ",resentment%1:12:00::,resentment%1:12:00::
38,Do not text me happy Labor Day 😒 save it please .,irritation%1:26:00::,irritation%1:26:00::
39,Dont you hate when you love a mother fucker you know you shouldnt 😒,resentment%1:12:00::,irritation%1:26:00::
